Transaction_ID,Date,Region,Drug_Name,Hospital_Name,Units_Ordered,Price_Per_Unit,Total_Revenue
TXN100895,2025-06-03,West,GlycaCure 50mg,Apollo Medical Center 2,135,250,33750
TXN103769,2025-06-03,South,GlycaCure 50mg,Apollo Medical Center 4,102,120,12240
TXN106845,2025-06-03,Central,GlycaCure 50mg,Max Super Speciality 4,91,250,22750
TXN102657,2025-06-03,North,OncoShield 10mg,Max Super Speciality 2,48,450,21600
TXN102321,2025-06-03,Central,GlycaCure 50mg,Fortis Healthcare 2,143,120,17160
TXN102124,2025-06-03,West,OncoShield 10mg,Max Super Speciality 4,24,450,10800
TXN104489,2025-06-03,East,OncoShield 10mg,Fortis Healthcare 5,92,450,41400
TXN102731,2025-06-03,North,GlycaCure 50mg,Max Super Speciality 5,42,120,5040
TXN101577,2025-06-03,Central,OncoShield 10mg,Fortis Healthcare 2,90,450,40500
TXN109868,2025-06-03,East,OncoShield 10mg,Apollo Medical Center 3,27,450,12150
TXN107869,2025-06-03,North,GlycaCure 50mg,Fortis Healthcare 2,70,120,8400
TXN108222,2025-06-03,North,GlycaCure 50mg,Apollo Medical Center 2,48,250,12000
TXN103930,2025-06-03,East,GlycaCure 50mg,Apollo Medical Center 1,81,250,20250
TXN108256,2025-06-03,South,GlycaCure 50mg,Max Super Speciality 4,149,250,37250
TXN104845,2025-06-03,South,GlycaCure 50mg,Fortis Healthcare 3,141,250,35250
TXN104205,2025-06-03,West,GlycaCure 50mg,Max Super Speciality 1,124,250,31000
TXN104687,2025-06-03,North,GlycaCure 50mg,Apollo Medical Center 1,124,250,31000
TXN104131,2025-06-03,West,OncoShield 10mg,Max Super Speciality 2,60,450,27000
TXN100325,2025-06-04,South,OncoShield 10mg,Max Super Speciality 3,59,450,26550
TXN104104,2025-06-04,North,OncoShield 10mg,Apollo Medical Center 5,57,450,25650
TXN107714,2025-06-04,West,GlycaCure 50mg,Max Super Speciality 5,142,120,17040
TXN107700,2025-06-04,West,GlycaCure 50mg,Apollo Medical Center 3,104,120,12480
TXN103866,2025-06-04,South,GlycaCure 50mg,Apollo Medical Center 4,108,120,12960
TXN108553,2025-06-04,Central,GlycaCure 50mg,Fortis Healthcare 3,74,250,18500
TXN105013,2025-06-04,Central,OncoShield 10mg,Fortis Healthcare 3,75,450,33750
TXN107638,2025-06-04,Central,GlycaCure 50mg,Apollo Medical Center 4,58,120,6960
TXN103077,2025-06-04,Central,GlycaCure 50mg,Apollo Medical Center 5,133,120,15960
TXN100496,2025-06-04,South,GlycaCure 50mg,Fortis Healthcare 5,21,120,2520
TXN101911,2025-06-04,North,GlycaCure 50mg,Apollo Medical Center 4,145,120,17400
TXN106391,2025-06-04,North,OncoShield 10mg,Apollo Medical Center 4,137,450,61650
TXN106026,2025-06-04,West,OncoShield 10mg,Apollo Medical Center 1,66,450,29700
TXN102728,2025-06-04,South,GlycaCure 50mg,Apollo Medical Center 3,73,250,18250
TXN101328,2025-06-04,East,OncoShield 10mg,Max Super Speciality 5,36,450,16200
TXN107112,2025-06-04,South,OncoShield 10mg,Max Super Speciality 1,77,450,34650
TXN105706,2025-06-04,South,GlycaCure 50mg,Max Super Speciality 5,93,120,11160
TXN101723,2025-06-04,West,GlycaCure 50mg,Fortis Healthcare 2,114,250,28500
TXN107365,2025-06-04,South,OncoShield 10mg,Fortis Healthcare 1,144,450,64800
TXN109827,2025-06-04,Central,OncoShield 10mg,Max Super Speciality 1,131,450,58950
TXN100968,2025-06-04,North,GlycaCure 50mg,Max Super Speciality 1,116,250,29000
TXN109812,2025-06-04,West,GlycaCure 50mg,Apollo Medical Center 5,26,120,3120
TXN101486,2025-06-04,East,OncoShield 10mg,Apollo Medical Center 3,102,450,45900
TXN105496,2025-06-04,West,GlycaCure 50mg,Max Super Speciality 5,44,120,5280
TXN100948,2025-06-04,South,OncoShield 10mg,Fortis Healthcare 4,104,450,46800
TXN105285,2025-06-05,West,GlycaCure 50mg,Fortis Healthcare 3,130,120,15600
TXN100415,2025-06-05,East,GlycaCure 50mg,Apollo Medical Center 3,117,250,29250
TXN105343,2025-06-05,South,GlycaCure 50mg,Max Super Speciality 5,67,250,16750
TXN107520,2025-06-05,West,OncoShield 10mg,Apollo Medical Center 5,66,450,29700
TXN100128,2025-06-05,South,GlycaCure 50mg,Max Super Speciality 5,68,250,17000
TXN104797,2025-06-05,East,OncoShield 10mg,Apollo Medical Center 5,43,450,19350
TXN100720,2025-06-05,South,OncoShield 10mg,Apollo Medical Center 1,148,450,66600
TXN102051,2025-06-05,Central,OncoShield 10mg,Max Super Speciality 4,53,450,23850
TXN102431,2025-06-05,North,OncoShield 10mg,Fortis Healthcare 1,13,450,5850
TXN101091,2025-06-05,East,GlycaCure 50mg,Fortis Healthcare 1,39,120,4680
TXN105665,2025-06-05,Central,GlycaCure 50mg,Apollo Medical Center 2,79,120,9480
TXN107280,2025-06-05,North,OncoShield 10mg,Apollo Medical Center 2,84,450,37800
TXN103494,2025-06-05,East,OncoShield 10mg,Fortis Healthcare 2,90,450,40500
TXN101044,2025-06-05,South,GlycaCure 50mg,Apollo Medical Center 4,27,250,6750
TXN105423,2025-06-05,South,GlycaCure 50mg,Max Super Speciality 5,139,250,34750
TXN107252,2025-06-05,East,GlycaCure 50mg,Max Super Speciality 3,76,250,19000
TXN103477,2025-06-05,North,GlycaCure 50mg,Fortis Healthcare 2,129,120,15480
TXN102281,2025-06-05,Central,GlycaCure 50mg,Max Super Speciality 4,71,120,8520
TXN102330,2025-06-05,South,GlycaCure 50mg,Fortis Healthcare 2,108,120,12960
TXN102909,2025-06-05,North,OncoShield 10mg,Max Super Speciality 2,87,450,39150
TXN101561,2025-06-05,Central,GlycaCure 50mg,Apollo Medical Center 4,25,120,3000
TXN104270,2025-06-05,South,OncoShield 10mg,Fortis Healthcare 5,21,450,9450
TXN100613,2025-06-05,West,OncoShield 10mg,Apollo Medical Center 2,73,450,32850
TXN100842,2025-06-05,North,GlycaCure 50mg,Max Super Speciality 2,13,250,3250
TXN107769,2025-06-05,South,OncoShield 10mg,Apollo Medical Center 1,49,450,22050
TXN103907,2025-06-05,East,GlycaCure 50mg,Fortis Healthcare 1,26,120,3120
TXN103931,2025-06-06,East,OncoShield 10mg,Apollo Medical Center 1,78,450,35100
TXN104663,2025-06-06,West,OncoShield 10mg,Max Super Speciality 5,145,450,65250
TXN104308,2025-06-06,West,GlycaCure 50mg,Apollo Medical Center 3,10,250,2500
TXN105416,2025-06-06,East,GlycaCure 50mg,Apollo Medical Center 1,59,120,7080
TXN100964,2025-06-06,South,GlycaCure 50mg,Max Super Speciality 3,44,250,11000
TXN106857,2025-06-06,East,OncoShield 10mg,Max Super Speciality 5,78,450,35100
TXN106153,2025-06-06,West,GlycaCure 50mg,Fortis Healthcare 5,20,250,5000
TXN104537,2025-06-06,East,OncoShield 10mg,Apollo Medical Center 3,52,450,23400
TXN108010,2025-06-06,East,GlycaCure 50mg,Fortis Healthcare 2,134,250,33500
TXN108734,2025-06-06,West,GlycaCure 50mg,Max Super Speciality 5,51,120,6120
TXN108884,2025-06-06,North,OncoShield 10mg,Fortis Healthcare 4,93,450,41850
TXN100741,2025-06-06,Central,GlycaCure 50mg,Apollo Medical Center 5,127,250,31750
TXN105507,2025-06-06,North,OncoShield 10mg,Max Super Speciality 1,141,450,63450
TXN105498,2025-06-06,West,OncoShield 10mg,Fortis Healthcare 5,69,450,31050
TXN105231,2025-06-06,East,GlycaCure 50mg,Max Super Speciality 4,96,120,11520
TXN106508,2025-06-06,South,GlycaCure 50mg,Apollo Medical Center 1,82,250,20500
TXN106220,2025-06-06,West,OncoShield 10mg,Fortis Healthcare 5,53,450,23850
TXN105108,2025-06-06,North,GlycaCure 50mg,Fortis Healthcare 4,32,120,3840
TXN109297,2025-06-06,West,GlycaCure 50mg,Fortis Healthcare 2,102,120,12240
TXN109087,2025-06-06,Central,OncoShield 10mg,Apollo Medical Center 1,17,450,7650
TXN100334,2025-06-06,West,GlycaCure 50mg,Apollo Medical Center 5,45,120,5400
TXN100934,2025-06-06,Central,OncoShield 10mg,Apollo Medical Center 1,136,450,61200
TXN108811,2025-06-07,East,GlycaCure 50mg,Fortis Healthcare 2,34,120,4080
TXN108603,2025-06-07,North,GlycaCure 50mg,Fortis Healthcare 1,111,250,27750
TXN101859,2025-06-07,South,GlycaCure 50mg,Max Super Speciality 4,134,120,16080
TXN101277,2025-06-07,South,OncoShield 10mg,Apollo Medical Center 2,140,450,63000
TXN109523,2025-06-07,East,GlycaCure 50mg,Apollo Medical Center 1,131,120,15720
TXN108994,2025-06-07,North,GlycaCure 50mg,Fortis Healthcare 5,20,250,5000
TXN103379,2025-06-07,North,GlycaCure 50mg,Fortis Healthcare 2,145,250,36250
TXN107697,2025-06-07,North,GlycaCure 50mg,Max Super Speciality 2,116,250,29000
TXN106503,2025-06-07,West,OncoShield 10mg,Apollo Medical Center 2,12,450,5400
TXN100894,2025-06-07,East,GlycaCure 50mg,Apollo Medical Center 4,86,120,10320
TXN104253,2025-06-07,South,OncoShield 10mg,Apollo Medical Center 3,37,450,16650
TXN107460,2025-06-07,West,GlycaCure 50mg,Max Super Speciality 5,125,250,31250
TXN102862,2025-06-07,South,OncoShield 10mg,Max Super Speciality 3,116,450,52200
TXN101650,2025-06-07,Central,GlycaCure 50mg,Max Super Speciality 1,79,120,9480
TXN100605,2025-06-07,North,GlycaCure 50mg,Apollo Medical Center 3,88,120,10560
TXN104372,2025-06-07,Central,OncoShield 10mg,Fortis Healthcare 5,72,450,32400
TXN106012,2025-06-07,South,GlycaCure 50mg,Fortis Healthcare 1,29,120,3480
TXN103836,2025-06-07,West,GlycaCure 50mg,Max Super Speciality 2,89,120,10680
TXN106550,2025-06-07,South,GlycaCure 50mg,Max Super Speciality 5,119,120,14280
TXN101462,2025-06-07,East,GlycaCure 50mg,Max Super Speciality 2,80,120,9600
TXN106487,2025-06-07,North,GlycaCure 50mg,Fortis Healthcare 1,124,120,14880
TXN108801,2025-06-07,West,GlycaCure 50mg,Max Super Speciality 2,72,120,8640
TXN104616,2025-06-07,East,OncoShield 10mg,Max Super Speciality 5,146,450,65700
TXN105975,2025-06-07,South,GlycaCure 50mg,Apollo Medical Center 3,73,120,8760
TXN108067,2025-06-07,West,OncoShield 10mg,Apollo Medical Center 1,111,450,49950
TXN102467,2025-06-07,Central,OncoShield 10mg,Max Super Speciality 4,107,450,48150
TXN101714,2025-06-07,East,OncoShield 10mg,Apollo Medical Center 3,66,450,29700
TXN104945,2025-06-07,Central,GlycaCure 50mg,Max Super Speciality 2,27,120,3240
TXN107850,2025-06-07,East,GlycaCure 50mg,Apollo Medical Center 1,114,120,13680
TXN102381,2025-06-07,North,GlycaCure 50mg,Fortis Healthcare 4,46,120,5520
TXN103288,2025-06-08,South,OncoShield 10mg,Apollo Medical Center 5,135,450,60750
TXN109317,2025-06-08,North,OncoShield 10mg,Max Super Speciality 3,141,450,63450
TXN109118,2025-06-08,East,OncoShield 10mg,Max Super Speciality 2,130,450,58500
TXN106419,2025-06-08,West,OncoShield 10mg,Apollo Medical Center 2,68,450,30600
TXN103977,2025-06-08,Central,OncoShield 10mg,Fortis Healthcare 2,23,450,10350
TXN108917,2025-06-08,North,GlycaCure 50mg,Fortis Healthcare 1,70,250,17500
TXN103933,2025-06-08,North,OncoShield 10mg,Fortis Healthcare 2,42,450,18900
TXN102543,2025-06-08,South,OncoShield 10mg,Apollo Medical Center 3,81,450,36450
TXN103980,2025-06-08,Central,OncoShield 10mg,Fortis Healthcare 5,148,450,66600
TXN102565,2025-06-08,East,OncoShield 10mg,Fortis Healthcare 5,92,450,41400
TXN103475,2025-06-08,East,GlycaCure 50mg,Apollo Medical Center 1,97,250,24250
TXN101250,2025-06-08,South,OncoShield 10mg,Fortis Healthcare 2,120,450,54000
TXN107134,2025-06-08,East,GlycaCure 50mg,Apollo Medical Center 3,116,120,13920
TXN103181,2025-06-08,South,GlycaCure 50mg,Fortis Healthcare 5,26,250,6500
TXN102044,2025-06-08,Central,GlycaCure 50mg,Fortis Healthcare 2,19,250,4750
TXN104743,2025-06-08,South,GlycaCure 50mg,Max Super Speciality 4,117,250,29250
TXN102989,2025-06-08,Central,GlycaCure 50mg,Apollo Medical Center 5,34,120,4080
TXN104935,2025-06-08,North,OncoShield 10mg,Fortis Healthcare 2,109,450,49050
TXN102966,2025-06-08,East,OncoShield 10mg,Fortis Healthcare 3,77,450,34650
TXN109655,2025-06-08,North,OncoShield 10mg,Apollo Medical Center 2,100,450,45000
TXN100828,2025-06-08,South,OncoShield 10mg,Fortis Healthcare 4,52,450,23400
TXN105606,2025-06-08,North,OncoShield 10mg,Apollo Medical Center 5,76,450,34200
TXN101764,2025-06-08,East,OncoShield 10mg,Fortis Healthcare 2,122,450,54900
TXN109690,2025-06-08,North,GlycaCure 50mg,Apollo Medical Center 4,17,250,4250
TXN100875,2025-06-08,West,OncoShield 10mg,Apollo Medical Center 2,89,450,40050
TXN105392,2025-06-08,West,OncoShield 10mg,Max Super Speciality 5,12,450,5400
TXN101941,2025-06-08,South,GlycaCure 50mg,Apollo Medical Center 5,106,250,26500
TXN100687,2025-06-08,East,GlycaCure 50mg,Max Super Speciality 1,117,250,29250
TXN107143,2025-06-08,West,GlycaCure 50mg,Max Super Speciality 5,65,120,7800
TXN109924,2025-06-08,South,GlycaCure 50mg,Max Super Speciality 3,121,250,30250
TXN105893,2025-06-08,North,OncoShield 10mg,Fortis Healthcare 5,125,450,56250
TXN109593,2025-06-08,Central,OncoShield 10mg,Max Super Speciality 1,122,450,54900
TXN108201,2025-06-08,Central,OncoShield 10mg,Max Super Speciality 4,73,450,32850
TXN106160,2025-06-08,East,GlycaCure 50mg,Fortis Healthcare 5,76,250,19000
TXN106035,2025-06-08,North,OncoShield 10mg,Fortis Healthcare 5,55,450,24750
TXN101319,2025-06-09,Central,GlycaCure 50mg,Apollo Medical Center 3,67,250,16750
TXN101843,2025-06-09,Central,OncoShield 10mg,Fortis Healthcare 3,37,450,16650
TXN101783,2025-06-09,East,OncoShield 10mg,Apollo Medical Center 5,105,450,47250
TXN104166,2025-06-09,West,OncoShield 10mg,Apollo Medical Center 5,96,450,43200
TXN108369,2025-06-09,East,GlycaCure 50mg,Max Super Speciality 3,54,120,6480
TXN107373,2025-06-09,East,OncoShield 10mg,Max Super Speciality 5,40,450,18000
TXN100269,2025-06-09,North,OncoShield 10mg,Apollo Medical Center 4,76,450,34200
TXN102203,2025-06-09,North,OncoShield 10mg,Apollo Medical Center 1,85,450,38250
TXN106394,2025-06-09,Central,OncoShield 10mg,Apollo Medical Center 4,10,450,4500
TXN107083,2025-06-09,South,GlycaCure 50mg,Apollo Medical Center 2,27,120,3240
TXN100601,2025-06-09,North,OncoShield 10mg,Max Super Speciality 3,23,450,10350
TXN107327,2025-06-09,West,OncoShield 10mg,Fortis Healthcare 3,142,450,63900
TXN106720,2025-06-09,South,GlycaCure 50mg,Max Super Speciality 3,110,120,13200
TXN101567,2025-06-09,South,OncoShield 10mg,Apollo Medical Center 2,37,450,16650
TXN108722,2025-06-09,North,GlycaCure 50mg,Max Super Speciality 1,80,120,9600
TXN108938,2025-06-09,North,GlycaCure 50mg,Apollo Medical Center 3,51,120,6120
TXN106172,2025-06-09,South,OncoShield 10mg,Max Super Speciality 1,139,450,62550
TXN108165,2025-06-09,North,GlycaCure 50mg,Max Super Speciality 4,108,250,27000
TXN108828,2025-06-09,West,GlycaCure 50mg,Fortis Healthcare 1,145,250,36250
TXN105661,2025-06-09,Central,OncoShield 10mg,Max Super Speciality 4,98,450,44100
TXN101597,2025-06-09,South,OncoShield 10mg,Max Super Speciality 5,45,450,20250
TXN106423,2025-06-09,Central,GlycaCure 50mg,Fortis Healthcare 1,112,120,13440
TXN109800,2025-06-09,Central,GlycaCure 50mg,Max Super Speciality 2,109,250,27250
TXN109970,2025-06-09,South,GlycaCure 50mg,Max Super Speciality 1,71,120,8520
TXN100097,2025-06-09,North,OncoShield 10mg,Max Super Speciality 3,121,450,54450
TXN109577,2025-06-09,Central,GlycaCure 50mg,Max Super Speciality 3,45,120,5400
TXN102683,2025-06-10,South,GlycaCure 50mg,Fortis Healthcare 5,41,120,4920
TXN102524,2025-06-10,West,GlycaCure 50mg,Apollo Medical Center 5,34,250,8500
TXN107612,2025-06-10,East,OncoShield 10mg,Fortis Healthcare 4,127,450,57150
TXN105281,2025-06-10,South,OncoShield 10mg,Fortis Healthcare 5,43,450,19350
TXN101972,2025-06-10,North,GlycaCure 50mg,Apollo Medical Center 2,49,120,5880
TXN109654,2025-06-10,South,OncoShield 10mg,Apollo Medical Center 1,20,450,9000
TXN107905,2025-06-10,West,OncoShield 10mg,Max Super Speciality 2,131,450,58950
TXN100714,2025-06-10,North,GlycaCure 50mg,Fortis Healthcare 4,95,250,23750
TXN109609,2025-06-10,North,GlycaCure 50mg,Apollo Medical Center 4,62,120,7440
TXN102205,2025-06-10,West,GlycaCure 50mg,Max Super Speciality 1,131,120,15720
TXN104168,2025-06-10,North,OncoShield 10mg,Apollo Medical Center 2,120,450,54000
TXN100484,2025-06-10,South,OncoShield 10mg,Fortis Healthcare 1,145,450,65250
TXN104015,2025-06-10,West,OncoShield 10mg,Max Super Speciality 2,93,450,41850
TXN102601,2025-06-10,Central,GlycaCure 50mg,Fortis Healthcare 5,100,120,12000
TXN108956,2025-06-10,East,OncoShield 10mg,Apollo Medical Center 2,114,450,51300
TXN107472,2025-06-10,Central,OncoShield 10mg,Max Super Speciality 2,103,450,46350
TXN101003,2025-06-10,South,OncoShield 10mg,Max Super Speciality 4,53,450,23850
TXN103651,2025-06-10,South,GlycaCure 50mg,Apollo Medical Center 2,141,250,35250
TXN106505,2025-06-10,North,GlycaCure 50mg,Max Super Speciality 4,106,250,26500
TXN107364,2025-06-10,North,OncoShield 10mg,Apollo Medical Center 5,40,450,18000
TXN106859,2025-06-10,North,OncoShield 10mg,Max Super Speciality 3,106,450,47700
TXN109942,2025-06-10,North,OncoShield 10mg,Max Super Speciality 1,143,450,64350
TXN106383,2025-06-10,West,GlycaCure 50mg,Apollo Medical Center 2,119,250,29750
TXN107105,2025-06-10,Central,OncoShield 10mg,Max Super Speciality 2,42,450,18900
TXN107140,2025-06-10,Central,GlycaCure 50mg,Fortis Healthcare 4,19,120,2280
TXN106794,2025-06-10,West,OncoShield 10mg,Fortis Healthcare 1,86,450,38700
TXN109993,2025-06-10,West,OncoShield 10mg,Max Super Speciality 5,53,450,23850
TXN101090,2025-06-10,Central,OncoShield 10mg,Max Super Speciality 3,91,450,40950
TXN105769,2025-06-10,North,OncoShield 10mg,Apollo Medical Center 3,38,450,17100
TXN109278,2025-06-10,North,OncoShield 10mg,Apollo Medical Center 3,143,450,64350
TXN102240,2025-06-11,North,OncoShield 10mg,Apollo Medical Center 2,29,450,13050
TXN103942,2025-06-11,Central,OncoShield 10mg,Max Super Speciality 3,40,450,18000
TXN108597,2025-06-11,North,GlycaCure 50mg,Apollo Medical Center 1,73,250,18250
TXN101292,2025-06-11,Central,OncoShield 10mg,Max Super Speciality 3,42,450,18900
TXN108478,2025-06-11,East,GlycaCure 50mg,Apollo Medical Center 1,17,250,4250
TXN108963,2025-06-11,West,GlycaCure 50mg,Fortis Healthcare 5,31,120,3720
TXN102600,2025-06-11,North,OncoShield 10mg,Fortis Healthcare 3,99,450,44550
TXN105562,2025-06-11,West,OncoShield 10mg,Fortis Healthcare 4,73,450,32850
TXN101538,2025-06-11,South,GlycaCure 50mg,Apollo Medical Center 3,77,250,19250
TXN106116,2025-06-11,East,GlycaCure 50mg,Max Super Speciality 5,132,250,33000
TXN104577,2025-06-11,South,GlycaCure 50mg,Max Super Speciality 2,16,250,4000
TXN105977,2025-06-11,North,GlycaCure 50mg,Apollo Medical Center 1,130,250,32500
TXN105941,2025-06-11,North,OncoShield 10mg,Fortis Healthcare 4,83,450,37350
TXN107076,2025-06-11,South,OncoShield 10mg,Apollo Medical Center 3,118,450,53100
TXN104975,2025-06-11,West,GlycaCure 50mg,Fortis Healthcare 1,83,120,9960
TXN107872,2025-06-11,North,GlycaCure 50mg,Max Super Speciality 4,44,250,11000
TXN107771,2025-06-11,North,OncoShield 10mg,Max Super Speciality 1,114,450,51300
TXN101122,2025-06-11,West,GlycaCure 50mg,Fortis Healthcare 5,95,120,11400
TXN103725,2025-06-11,North,GlycaCure 50mg,Fortis Healthcare 2,55,250,13750
TXN101801,2025-06-11,Central,GlycaCure 50mg,Fortis Healthcare 5,86,120,10320
TXN107301,2025-06-11,Central,OncoShield 10mg,Fortis Healthcare 3,108,450,48600
TXN108268,2025-06-11,Central,GlycaCure 50mg,Fortis Healthcare 1,109,250,27250
TXN105021,2025-06-11,North,GlycaCure 50mg,Max Super Speciality 1,62,120,7440
TXN101379,2025-06-11,East,OncoShield 10mg,Apollo Medical Center 4,59,450,26550
TXN109211,2025-06-11,West,GlycaCure 50mg,Fortis Healthcare 1,12,250,3000
TXN102318,2025-06-12,Central,OncoShield 10mg,Max Super Speciality 3,50,450,22500
TXN109343,2025-06-12,South,GlycaCure 50mg,Apollo Medical Center 3,40,120,4800
TXN107123,2025-06-12,East,GlycaCure 50mg,Fortis Healthcare 3,107,120,12840
TXN105598,2025-06-12,Central,GlycaCure 50mg,Apollo Medical Center 1,47,120,5640
TXN108314,2025-06-12,North,GlycaCure 50mg,Fortis Healthcare 3,47,250,11750
TXN101423,2025-06-12,East,GlycaCure 50mg,Apollo Medical Center 2,14,120,1680
TXN101433,2025-06-12,West,GlycaCure 50mg,Fortis Healthcare 4,82,120,9840
TXN101667,2025-06-12,East,OncoShield 10mg,Apollo Medical Center 5,38,450,17100
TXN102999,2025-06-12,West,GlycaCure 50mg,Max Super Speciality 3,53,250,13250
TXN108959,2025-06-12,West,OncoShield 10mg,Fortis Healthcare 5,61,450,27450
TXN102020,2025-06-12,East,GlycaCure 50mg,Fortis Healthcare 2,132,120,15840
TXN107328,2025-06-12,East,GlycaCure 50mg,Apollo Medical Center 2,17,120,2040
TXN104263,2025-06-12,North,OncoShield 10mg,Apollo Medical Center 3,62,450,27900
